accelerometerX,accelerometerY,accelerometerZ,gyroscopeX,gyroscopeY,gyroscopeZ
-0.724,2.209,1.654,1.465,75.012,-381.470
-0.788,1.858,1.621,13.611,100.281,-416.138
-0.875,1.552,1.548,29.236,128.113,-438.965
-0.973,1.244,1.410,37.476,159.180,-457.642
-1.052,0.859,1.213,39.063,192.322,-475.891
-1.136,0.413,0.988,19.226,223.511,-491.882
-1.088,-0.056,0.841,-18.066,242.737,-502.075
-1.122,-0.518,0.739,-50.354,246.399,-504.272
-1.061,-0.942,0.565,-79.041,244.934,-489.380
-0.885,-1.264,0.374,-105.042,236.816,-458.435
-0.698,-1.458,0.230,-101.685,213.623,-411.316
-0.538,-1.501,0.207,-80.322,178.528,-350.220
-0.394,-1.423,0.309,-57.434,142.212,-291.870
-0.277,-1.300,0.401,-40.222,120.605,-249.390
-0.175,-1.248,0.426,-35.034,116.333,-227.661
-0.123,-1.305,0.370,-32.043,122.498,-220.276
-0.129,-1.421,0.212,-29.053,133.118,-212.524
-0.080,-1.532,0.028,-35.950,140.625,-196.960
0.001,-1.583,-0.074,-42.175,135.681,-173.462
0.058,-1.572,-0.093,-39.795,119.751,-144.287
0.122,-1.512,-0.085,-29.541,103.027,-114.258
0.181,-1.432,-0.096,-20.752,93.567,-89.172
0.227,-1.376,-0.154,-12.756,87.830,-71.167
0.254,-1.343,-0.251,-4.150,82.703,-56.152
0.266,-1.312,-0.324,-0.366,76.904,-40.894
0.289,-1.293,-0.371,0.305,67.871,-26.123
0.303,-1.252,-0.383,0.488,56.030,-9.216
0.307,-1.175,-0.396,0.854,45.105,10.071
0.300,-1.086,-0.448,1.648,37.659,28.870
0.327,-1.019,-0.508,2.991,30.090,43.579
0.348,-0.990,-0.553,4.517,17.639,54.138
0.352,-0.988,-0.545,3.967,2.991,62.439
0.356,-1.027,-0.495,3.906,-11.658,69.763
0.352,-1.062,-0.432,8.362,-24.536,79.529
0.364,-1.031,-0.368,15.991,-35.828,94.116
0.397,-0.949,-0.295,26.855,-47.852,111.572
0.404,-0.833,-0.206,34.790,-58.899,128.235
0.432,-0.714,-0.128,39.917,-66.895,142.334
0.457,-0.588,-0.050,42.786,-72.266,153.687
0.469,-0.472,0.025,45.349,-77.148,161.804
0.454,-0.373,0.064,47.913,-82.397,167.786
0.478,-0.320,0.115,45.288,-87.463,172.241
0.472,-0.283,0.207,42.175,-95.276,174.622
0.458,-0.268,0.302,51.086,-104.309,178.711
0.444,-0.259,0.379,64.636,-110.168,185.181
0.412,-0.242,0.446,74.402,-112.061,192.017
0.393,-0.210,0.516,85.388,-113.770,198.730
0.351,-0.176,0.559,100.037,-115.662,205.627
0.330,-0.120,0.597,100.281,-115.051,212.402
0.348,-0.037,0.653,93.323,-116.211,218.933
0.349,0.021,0.725,93.262,-119.141,225.952
0.344,0.043,0.776,84.045,-115.173,229.858
0.292,0.029,0.788,69.458,-99.670,232.056
0.208,0.019,0.695,59.570,-78.979,239.075
0.191,0.028,0.569,47.852,-64.758,251.648
0.107,0.129,0.501,40.588,-62.378,269.348
0.027,0.177,0.536,29.846,-72.998,279.907
-0.005,0.091,0.635,26.489,-85.876,281.067
-0.076,0.009,0.773,35.645,-94.788,287.170
-0.207,0.010,0.882,60.486,-95.520,306.091
-0.395,0.131,0.888,87.158,-82.581,333.496
-0.441,0.444,0.856,106.750,-69.397,365.112
-0.508,0.922,0.894,127.747,-73.853,398.865
-0.528,1.618,0.987,138.245,-99.304,431.274
-0.193,2.481,0.994,122.803,-129.517,447.937
-0.113,3.042,1.019,72.327,-150.146,398.743
0.059,3.270,1.176,3.235,-164.124,304.626
0.095,3.084,1.311,-41.931,-159.790,191.223
0.063,2.340,1.326,-36.743,-135.864,71.838
