accelerometerX,accelerometerY,accelerometerZ,gyroscopeX,gyroscopeY,gyroscopeZ
-1.485,1.377,0.969,303.711,-67.566,-205.566
-1.378,0.200,-0.003,311.462,-5.737,-247.009
-1.284,-0.436,-0.299,258.179,-57.861,-222.900
-1.247,-0.424,-0.303,214.600,-118.530,-156.982
-1.304,0.295,-0.681,185.547,-140.198,-136.108
-1.618,0.522,-0.708,142.395,-225.098,-146.118
-1.844,0.572,0.813,92.285,-353.577,-168.640
-1.811,0.640,1.693,99.304,-388.916,-214.294
-1.778,0.299,2.634,114.746,-294.312,-244.934
-1.916,-0.285,1.419,134.338,-141.174,-284.729
-1.971,-0.655,1.034,123.962,-133.423,-282.959
-2.011,-0.570,0.973,121.765,-141.846,-250.732
-1.964,-0.007,1.200,120.728,-144.470,-214.661
-1.979,0.337,1.428,129.639,-134.827,-222.900
-2.056,0.890,2.082,143.982,-118.347,-249.146
-2.318,0.918,2.451,164.795,-33.264,-331.604
-2.407,0.583,2.235,175.049,29.907,-381.226
-2.539,0.421,1.409,227.661,124.084,-420.227
-2.448,0.157,0.661,288.757,168.335,-447.998
-2.339,-0.147,0.305,311.523,182.068,-457.825
-1.901,-1.233,-0.954,302.124,224.609,-464.478
-1.526,-1.791,-1.817,221.191,150.269,-473.938
-1.197,-3.262,-1.489,147.156,52.002,-482.361
-0.830,-3.424,0.519,13.855,-126.404,-61.890
-0.649,-0.367,1.288,-30.212,-85.754,209.167
-0.599,1.049,1.148,-65.552,-12.756,278.076
-0.577,1.352,0.957,-55.481,9.521,247.620
-0.519,1.637,0.977,-54.321,9.094,142.456
-0.454,1.543,1.066,-43.274,27.161,16.357
-0.435,0.499,0.757,-31.738,52.856,-23.437
-0.428,0.116,0.199,-12.329,69.458,-18.494
-0.406,0.163,0.025,-8.972,58.411,-2.441
-0.388,0.387,0.117,-5.249,13.062,19.653
-0.382,0.516,0.440,10.376,-16.846,21.179
-0.378,0.531,0.626,17.639,-27.039,17.761
-0.375,0.512,0.894,25.391,-28.259,9.399
-0.375,0.579,0.950,20.325,-14.893,3.906
-0.392,0.542,0.903,15.869,-7.263,-1.953
-0.394,0.359,0.785,10.132,-1.709,-11.353
-0.398,0.298,0.799,12.146,-8.118,-6.897
-0.404,0.241,0.844,10.254,-10.925,-5.371
-0.413,0.217,0.914,5.493,-10.742,2.014
-0.418,0.273,0.944,3.235,-9.766,12.390
-0.411,0.516,1.033,-1.648,-7.690,14.832
-0.405,0.590,0.991,-0.427,3.296,4.456
-0.403,0.517,0.923,1.038,10.437,-7.568
-0.404,0.366,0.835,3.479,10.620,-9.216
-0.398,0.276,0.702,6.165,10.437,-5.554
-0.387,0.296,0.691,7.874,0.793,2.014
-0.375,0.361,0.771,7.080,-0.854,3.235
-0.385,0.326,0.738,4.333,1.282,2.869
-0.391,0.319,0.740,2.930,-0.488,4.028
-0.382,0.411,0.844,-0.671,-6.775,8.972
-0.388,0.566,0.905,-0.427,-3.235,6.714
